Date and Time: 2025-11-18 11:54:02
Approximate Polling Time: 100 ms
Comments: Period = 60
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0,5.399,2.744,29.85461,29.8364,30.01285,30.24789,30.31503,30.45029,30.63699,30.70096
0.078966856,5.441,2.762,29.88043,29.85016,30.01968,30.25073,30.31412,30.44476,30.62878,30.69061
0.150633812,5.468,2.781,29.897,29.86008,30.02524,30.25168,30.31268,30.44055,30.62476,30.68527
0.229949951,5.51,2.798,29.92358,29.87842,30.03467,30.25406,30.30966,30.43607,30.61984,30.67798
0.304325819,5.537,2.816,29.94196,29.88919,30.04065,30.25583,30.30862,30.43478,30.61484,30.67456
0.38248086,5.579,2.833,29.96725,29.90564,30.04733,30.26047,30.30746,30.42749,30.60675,30.66605
0.4564569,5.605,2.853,29.98373,29.91681,30.05426,30.2623,30.30542,30.4245,30.60309,30.66006
0.534295797,5.645,2.87,30.01279,29.93378,30.06049,30.26486,30.3038,30.42157,30.59695,30.64874
0.609183788,5.671,2.887,30.03088,29.94415,30.06546,30.26816,30.30429,30.41794,30.59222,30.64429
0.685778856,5.71,2.903,30.05814,29.96298,30.07693,30.2709,30.30154,30.41333,30.58572,30.64078
0.759889841,5.735,2.92,30.07779,29.97476,30.08127,30.27386,30.30139,30.40948,30.58286,30.63776
0.835886002,5.773,2.935,30.10492,29.99066,30.08942,30.27869,30.30151,30.40561,30.57437,30.629
0.911607981,5.798,2.953,30.12177,30.00327,30.09824,30.28214,30.3002,30.40341,30.57065,30.62192
0.987157822,5.836,2.968,30.15005,30.02118,30.10965,30.28247,30.30042,30.39816,30.56708,30.61398
1.064252853,5.86,2.985,30.16953,30.03406,30.11539,30.28604,30.29907,30.39899,30.5621,30.60971
1.140901804,5.897,2.999,30.19678,30.05194,30.12622,30.2926,30.29858,30.39276,30.55536,30.60458
1.21664691,5.921,3.015,30.21722,30.0654,30.13226,30.29565,30.29828,30.38983,30.55264,30.59924
1.292929888,5.956,3.029,30.24701,30.08218,30.14157,30.29984,30.29959,30.38718,30.54678,30.59091
1.368012905,5.978,3.045,30.2655,30.09573,30.14746,30.30377,30.2991,30.3862,30.54282,30.5878
1.445153952,6.013,3.058,30.2952,30.11676,30.15976,30.31055,30.29813,30.38205,30.53806,30.58286
1.518312931,6.036,3.073,30.31503,30.12888,30.16766,30.31192,30.29761,30.37997,30.53528,30.5769
1.596305847,6.07,3.086,30.34344,30.14697,30.17856,30.31876,30.30002,30.37662,30.52832,30.57126
1.672309875,6.091,3.101,30.36215,30.1604,30.18549,30.32236,30.29984,30.37549,30.5256,30.56631
1.748072863,6.124,3.115,30.39316,30.18149,30.198,30.32635,30.30029,30.37256,30.52029,30.55884
1.822634935,6.145,3.128,30.41428,30.19498,30.20447,30.33096,30.30075,30.37225,30.51828,30.55704
1.900074959,6.178,3.14,30.44296,30.21484,30.21823,30.33896,30.30118,30.36777,30.51254,30.55222
1.974949837,6.198,3.154,30.46109,30.22861,30.2269,30.34012,30.30176,30.36615,30.50861,30.54813
2.052266836,6.229,3.166,30.49423,30.25024,30.23648,30.34891,30.30472,30.36505,30.50574,30.54181
2.126293898,6.25,3.179,30.51523,30.26227,30.24557,30.35294,30.30533,30.36359,30.5022,30.53717
2.20390296,6.278,3.191,30.54639,30.2861,30.25876,30.3595,30.30524,30.36243,30.49808,30.53458
2.278823853,6.299,3.204,30.56848,30.29691,30.2674,30.36362,30.30624,30.36075,30.49734,30.52689
2.35547781,6.328,3.215,30.59991,30.31787,30.28046,30.37277,30.30957,30.35852,30.49109,30.52457
2.430066824,6.347,3.228,30.61823,30.33313,30.28851,30.37762,30.31049,30.35669,30.48862,30.52039
2.507483959,6.374,3.238,30.6521,30.35519,30.30127,30.38229,30.31207,30.35641,30.48621,30.51486
2.58169198,6.392,3.25,30.67307,30.36847,30.30933,30.38608,30.31482,30.35556,30.48346,30.51068
2.65572381,6.419,3.26,30.70404,30.392,30.32349,30.39648,30.31537,30.35303,30.4801,30.50693
2.731117964,6.437,3.271,30.72473,30.4071,30.33334,30.40167,30.31769,30.35263,30.47757,30.50574
2.811304808,6.463,3.282,30.75903,30.42786,30.34473,30.40997,30.32144,30.35297,30.47348,30.49899
2.884501934,6.48,3.292,30.77698,30.44238,30.35559,30.41565,30.32336,30.3512,30.47043,30.496
2.961112976,6.505,3.303,30.81143,30.46658,30.36926,30.42264,30.32501,30.35019,30.46921,30.49286
3.035854816,6.521,3.314,30.83298,30.4826,30.37857,30.42767,30.32721,30.35065,30.46732,30.49023
3.11451292,6.545,3.323,30.86423,30.50366,30.39334,30.43954,30.33066,30.35056,30.4632,30.48621
3.185856819,6.56,3.333,30.88507,30.52017,30.40482,30.44461,30.33276,30.34967,30.46155,30.48389
3.265839815,6.583,3.342,30.92188,30.54129,30.41583,30.45007,30.33765,30.35043,30.46085,30.4794
3.33957696,6.599,3.351,30.94217,30.55914,30.42664,30.45715,30.33923,30.35049,30.45755,30.47498
3.418149948,6.62,3.359,30.97461,30.58243,30.44397,30.46729,30.34198,30.3486,30.45581,30.47369
3.492228985,6.635,3.368,30.99692,30.5979,30.45459,30.47217,30.3447,30.34991,30.45392,30.47198
3.578839779,6.656,3.376,31.03033,30.62094,30.46832,30.48224,30.34964,30.35159,30.45102,30.46603
3.64189291,6.67,3.385,31.05225,30.63626,30.47833,30.48996,30.3533,30.34915,30.44992,30.46219
3.718180895,6.69,3.391,31.08655,30.66263,30.49432,30.49832,30.35577,30.35107,30.45016,30.45941
3.793873787,6.702,3.399,31.10852,30.67877,30.50409,30.50519,30.35883,30.35156,30.44846,30.45914
3.869959831,6.721,3.406,31.14194,30.70123,30.52084,30.51657,30.36349,30.35141,30.44473,30.45685
3.945347786,6.733,3.412,31.16446,30.71933,30.52914,30.52332,30.36816,30.3515,30.44437,30.45749
4.021815777,6.751,3.419,31.19986,30.74338,30.54706,30.53238,30.37186,30.35629,30.44223,30.45279
4.101491928,6.763,3.427,31.22156,30.75894,30.55759,30.5397,30.3754,30.35367,30.44315,30.45013
4.17373085,6.78,3.432,31.25293,30.78342,30.57336,30.55029,30.37949,30.35709,30.44199,30.44919
4.251274824,6.791,3.439,31.27875,30.80106,30.5864,30.5571,30.38278,30.35657,30.44141,30.44681
4.328174829,6.806,3.446,31.31192,30.82486,30.60236,30.56931,30.38998,30.35794,30.43939,30.44376
4.401154995,6.817,3.451,31.33603,30.84195,30.61389,30.57681,30.39334,30.35846,30.43832,30.44241
4.479176998,6.832,3.455,31.37094,30.86938,30.63007,30.58621,30.3985,30.36179,30.43927,30.43964
4.553273916,6.841,3.461,31.39551,30.88507,30.6409,30.59396,30.40286,30.36215,30.43909,30.43954
4.631084919,6.856,3.466,31.42426,30.91116,30.66,30.60757,30.40823,30.36313,30.43851,30.43658
4.704325914,6.864,3.471,31.44952,30.92767,30.6723,30.61453,30.41162,30.36606,30.43848,30.43631
4.780601978,6.877,3.475,31.48761,30.95309,30.68704,30.62579,30.41879,30.36963,30.43747,30.43341
4.857863903,6.886,3.479,31.50967,30.97028,30.69888,30.63406,30.42285,30.37073,30.43723,30.43283
4.932610989,6.896,3.483,31.54297,30.99692,30.71835,30.64569,30.42859,30.37253,30.43875,30.43365
5.007866859,6.905,3.488,31.56726,31.01547,30.72919,30.65472,30.43246,30.37512,30.43793,30.43298
5.084295988,6.914,3.491,31.60226,31.0397,30.74664,30.66757,30.44101,30.37714,30.43777,30.43234
5.159244776,6.922,3.494,31.62662,31.05527,30.76019,30.67688,30.44498,30.37897,30.44086,30.43167
5.237324953,6.931,3.498,31.66318,31.08374,30.77936,30.6853,30.4527,30.38403,30.44,30.42841
5.31338501,6.937,3.5,31.68655,31.10205,30.79099,30.69446,30.457,30.38531,30.44003,30.4296
5.389226913,6.946,3.503,31.7189,31.12723,30.80927,30.70813,30.46362,30.3877,30.43954,30.42889
5.462661982,6.952,3.505,31.74371,31.14563,30.82352,30.71729,30.46768,30.38995,30.44113,30.4288
5.542627811,6.959,3.506,31.77646,31.17514,30.83954,30.72934,30.47617,30.39545,30.4433,30.42819
5.617255926,6.964,3.509,31.80106,31.1897,30.85202,30.73993,30.48248,30.39767,30.44266,30.42639
5.705192804,6.97,3.51,31.8371,31.21786,30.87274,30.75146,30.48868,30.39996,30.44519,30.4288
5.766254902,6.973,3.513,31.86081,31.23599,30.88507,30.76031,30.4935,30.40341,30.44632,30.42828
5.843782902,6.979,3.514,31.89563,31.26108,30.90405,30.77481,30.50278,30.40692,30.44629,30.42685
5.918267965,6.983,3.516,31.92017,31.27948,30.91788,30.78531,30.50845,30.40881,30.44757,30.42911
5.994640827,6.986,3.516,31.95554,31.3067,30.93488,30.79593,30.51575,30.4144,30.45007,30.42822
6.072651863,6.989,3.517,31.97916,31.32584,30.94867,30.8049,30.52185,30.41904,30.45325,30.42798
6.148177862,6.992,3.516,32.01282,31.35291,30.96875,30.82147,30.53,30.42154,30.45279,30.43018
6.222980976,6.995,3.516,32.03705,31.37112,30.98383,30.83133,30.53601,30.42407,30.45517,30.4313
6.306827784,6.997,3.517,32.07385,31.39847,31,30.84457,30.54572,30.43094,30.45761,30.43073
6.37377882,6.997,3.517,32.0968,31.41663,31.0137,30.85361,30.55191,30.43463,30.45917,30.43143
6.450616837,6.998,3.516,32.13174,31.44421,31.03625,30.86792,30.55887,30.43997,30.46301,30.43579
6.524667978,7,3.515,32.15625,31.46399,31.04874,30.87903,30.56592,30.44592,30.46457,30.435
6.60232091,7,3.515,32.18799,31.48999,31.06967,30.89252,30.57541,30.44846,30.46484,30.43567
6.67927599,7,3.514,32.21439,31.50836,31.08408,30.90305,30.58267,30.45029,30.46741,30.43884
6.756213903,6.998,3.511,32.25134,31.53674,31.10297,30.91617,30.59164,30.45859,30.47183,30.4386
6.828339815,6.997,3.51,32.27518,31.55624,31.11697,30.92657,30.59741,30.46198,30.4744,30.43661
6.906607866,6.995,3.508,32.3103,31.58377,31.14053,30.94373,30.60782,30.46552,30.47696,30.44238
6.983787775,6.994,3.506,32.33218,31.60263,31.15237,30.95227,30.61325,30.47021,30.47961,30.44363
7.058357,6.99,3.503,32.37024,31.62936,31.17212,30.96802,30.62457,30.47812,30.48178,30.4455
7.134420872,6.988,3.501,32.39178,31.64801,31.18646,30.97934,30.63162,30.4812,30.48389,30.44513
7.210073948,6.984,3.498,32.42709,31.67734,31.20648,30.99387,30.64124,30.48746,30.49011,30.44925
7.286258936,6.98,3.495,32.45151,31.69626,31.22171,31.00424,30.64795,30.49283,30.49222,30.45068
7.362718821,6.976,3.491,32.48465,31.72321,31.24133,31.0213,30.65842,30.49808,30.49512,30.45306
7.438267946,6.972,3.489,32.509,31.74203,31.25659,31.03207,30.66568,30.5025,30.49829,30.45547
7.514719963,6.965,3.485,32.54626,31.7706,31.27734,31.04623,30.67651,30.51077,30.50336,30.45734
7.588342905,6.96,3.481,32.56955,31.78934,31.29156,31.05679,30.68378,30.51587,30.50604,30.45944
7.666742802,6.953,3.476,32.6048,31.81842,31.31689,31.07422,30.69424,30.52148,30.51089,30.46518
7.742208958,6.948,3.473,32.62674,31.83612,31.32666,31.08347,30.70108,30.52716,30.51523,30.46637
7.816105843,6.94,3.467,32.66229,31.86316,31.34888,31.10144,30.71353,30.53415,30.51828,30.46753
7.890535831,6.934,3.464,32.68799,31.88608,31.36395,31.1127,30.71936,30.53815,30.52032,30.46805
7.969600916,6.924,3.458,32.72006,31.91306,31.38577,31.12796,30.73206,30.54745,30.52576,30.47543
8.044614792,6.918,3.452,32.74536,31.9324,31.3992,31.13785,30.73962,30.55356,30.53067,30.47775
8.122422934,6.907,3.448,32.77643,31.9584,31.42252,31.15732,30.75128,30.55792,30.53494,30.47882
8.196867943,6.9,3.441,32.80014,31.97507,31.43268,31.16962,30.76169,30.56564,30.53775,30.48013
8.271266937,6.888,3.436,32.83621,32.00522,31.45871,31.1839,30.77127,30.57312,30.54501,30.48749
8.347590923,6.88,3.429,32.86005,32.0253,31.47397,31.19583,30.77924,30.5798,30.54868,30.48853
8.424282789,6.868,3.423,32.89386,32.05435,31.496,31.21243,30.79016,30.58661,30.55511,30.4967
8.500353813,6.859,3.416,32.91751,32.07343,31.50989,31.22452,30.79825,30.59229,30.55939,30.4996
