Date and Time: 2025-11-18 10:57:43
Approximate Polling Time: 100 ms
Comments: Period = 15
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0,4.229,1.685,33.84894,33.14212,32.58878,32.24054,31.72174,31.42557,31.32327,31.22583
0.076320887,4.439,1.782,33.85065,33.15509,32.59921,32.25662,31.73566,31.43521,31.33298,31.23315
0.152323961,4.573,1.883,33.85767,33.16141,32.61243,32.26422,31.74353,31.4437,31.33841,31.23877
0.228910923,4.774,1.974,33.86172,33.17499,32.62662,32.27893,31.75412,31.45566,31.34915,31.24905
0.303057909,4.901,2.068,33.86469,33.18188,32.63562,32.28802,31.76312,31.46063,31.35645,31.25571
0.379527807,5.088,2.154,33.86823,33.1918,32.65018,32.3009,31.77545,31.47214,31.36475,31.2648
0.454909801,5.209,2.241,33.87149,33.19968,32.65622,32.31192,31.78329,31.47928,31.37189,31.26901
0.529436827,5.383,2.319,33.87854,33.20917,32.67142,32.3226,31.79526,31.49179,31.38214,31.27936
0.604945898,5.496,2.403,33.88361,33.21555,32.6799,32.33194,31.80374,31.49948,31.3887,31.28506
0.683561802,5.657,2.476,33.88745,33.22516,32.69446,32.34619,31.81506,31.50967,31.39783,31.29599
0.75812602,5.761,2.549,33.89343,33.23199,32.70178,32.35449,31.82343,31.5159,31.4057,31.30032
0.835911989,5.908,2.616,33.90256,33.24103,32.71457,32.36673,31.83615,31.52899,31.41473,31.31009
0.908676863,6.002,2.682,33.90656,33.24802,32.72229,32.37531,31.84479,31.53336,31.42194,31.31738
0.987070799,6.134,2.743,33.9169,33.25879,32.73737,32.38666,31.85458,31.54803,31.43192,31.32794
1.060539007,6.22,2.802,33.92395,33.26526,32.74164,32.39587,31.86273,31.5546,31.43967,31.33322
1.137436867,6.337,2.855,33.9332,33.27451,32.75266,32.4097,31.8746,31.56555,31.44858,31.34161
1.214167833,6.41,2.908,33.94244,33.28061,32.76364,32.4173,31.88348,31.57202,31.45587,31.34906
1.2905159,6.514,2.955,33.95511,33.29205,32.77347,32.42813,31.8949,31.58463,31.46664,31.35919
1.365583897,6.576,3,33.9646,33.29895,32.78033,32.43573,31.90289,31.59149,31.47363,31.36487
1.442960024,6.664,3.039,33.97839,33.30991,32.79449,32.44931,31.91263,31.60233,31.48282,31.37839
1.517805815,6.715,3.079,33.98453,33.31992,32.79779,32.45761,31.92023,31.61011,31.48938,31.38516
1.594561815,6.785,3.11,34.00336,33.32901,32.81027,32.4686,31.93338,31.62109,31.50116,31.39081
1.668716908,6.827,3.142,34.0141,33.33694,32.81958,32.4762,31.94156,31.62848,31.50769,31.3981
1.746428967,6.881,3.168,34.03006,33.35049,32.83112,32.48645,31.95261,31.63852,31.51999,31.4072
