Date and Time: 2025-11-18 11:22:49
Approximate Polling Time: 100 ms
Comments: Period = 30
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0,2.975,1.266,30.85721,31.04123,31.26614,31.42148,31.33859,31.31604,31.37656,31.3642
0.074154139,3.055,1.327,30.85995,31.03909,31.259,31.41541,31.33536,31.31784,31.37573,31.3616
0.151848078,3.175,1.382,30.86243,31.03564,31.25461,31.41138,31.33307,31.31302,31.37466,31.36203
0.227232933,3.254,1.445,30.8623,31.03119,31.2504,31.40829,31.33044,31.31375,31.37503,31.36157
0.304507017,3.372,1.499,30.87399,31.02908,31.24442,31.40222,31.32645,31.31256,31.37137,31.36581
0.378638029,3.45,1.557,30.87436,31.03018,31.23776,31.39584,31.32513,31.31165,31.37347,31.3627
0.453597069,3.565,1.611,30.88187,31.02274,31.23831,31.40067,31.32016,31.30063,31.37125,31.36533
0.529477119,3.641,1.668,30.88446,31.02762,31.23892,31.39093,31.31628,31.30045,31.37338,31.36597
0.607120991,3.755,1.718,30.88156,31.0303,31.23251,31.38519,31.31131,31.30246,31.37445,31.36118
0.681427956,3.829,1.775,30.89105,31.02875,31.23273,31.38516,31.31158,31.30048,31.37173,31.36276
0.757400036,3.941,1.826,30.90363,31.02478,31.2189,31.38168,31.31027,31.29236,31.3663,31.36899
0.832050085,4.014,1.88,30.90149,31.03098,31.21423,31.38303,31.3024,31.29327,31.37012,31.35699
0.909405947,4.122,1.93,30.91208,31.02533,31.21811,31.37335,31.3027,31.29242,31.36493,31.35791
0.983648062,4.194,1.984,30.91721,31.02386,31.21466,31.37164,31.29868,31.29376,31.36456,31.35849
1.060863972,4.3,2.031,30.92651,31.0278,31.21216,31.36505,31.29361,31.2872,31.36295,31.36035
1.135319948,4.37,2.085,30.93161,31.02771,31.21185,31.36533,31.29407,31.2851,31.36154,31.35944
1.213033915,4.474,2.13,30.94531,31.02872,31.20612,31.36075,31.29276,31.28561,31.35809,31.35559
1.288964033,4.542,2.182,30.95346,31.03156,31.20462,31.35843,31.28781,31.28296,31.35864,31.35464
1.366470098,4.643,2.226,30.96338,31.03555,31.20639,31.35513,31.285,31.28189,31.3588,31.35461
1.440086126,4.71,2.277,30.97208,31.0376,31.20496,31.35226,31.2829,31.28027,31.35806,31.35471
